Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Total Gifted Subs,Gifted Tier 1 subs
Thu May 20 2021,0,0,0,3,2,0,1,1,0,0,0,0,0,0,2.255,2.495,12.055,0,0,0,0.08,0,1,1,1,5,5
Fri May 21 2021,0,0,14.62,465,30,1,0,4,21.59,84,22,2719,186,61,2.25,0,0,0,0.077,0,0,0,0,1,1,0,0
Sat May 22 2021,0,0,0,1,1,10,4,1,0,0,0,0,0,0,0,0,0,0.13,0,0,0.24,0,0,0,0,0,0
Sun May 23 2021,0,0,0,3,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 24 2021,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tue May 25 2021,0,0,14.14,648,32,5,2,5,5.28,93,21,2729,193,56,0,0,0,0,0.0665,0,0,0,0,0,0,0,0
Wed May 26 2021,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2.375,0,31.505,1.1,0,0,0.08,0,0,1,1,13,13
Thu May 27 2021,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri May 28 2021,0,0,8.09,129,15,1,1,3,0,81,14,704,87,32,0,0,0,0,0.0735,0,0,0,0,0,0,0,0
Sat May 29 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.305,0,0,0,0,0,0,0,0,1,1,0,0
